codice_prodotto,nome,categoria,tessuto,taglie_disponibili,colori_disponibili,prezzo_vendita,prezzo_showroom,su_shopify,costo_diretto,vestibilita,descrizione_breve,descrizione_tecnica,note,stock_totale
HEE-001,Adelaide,t-shirt,jersey,S/M|M/L,Bianco|Grigio|Corda,59.99,59.99,si,21.0,Regular,T-shirt maniche 3/4 in jersey pesante,Tessuto più spesso rispetto a t-shirt standard. Maniche ampie,,37
HEE-002,Alaska,maglieria,misto lana,TU,Crema,310,,,61.0,Regular,Bomber unisex misto lana,"Realizzato con punto grosso in misto lana per creare volume e struttura. Lavorazione lunga e pesante, capo molto costruito","costo da Controllo_Gestione_2026, riga «Bomber» (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",3
HEE-003,Alicante,maglieria,cotone,S/M,Crema|Nero,129.99,129.99,si,31.75,Regular,Maglia lavorata 100% cotone donna,Struttura simile a Bilbao ma più corta. Lacci posteriori,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",10
HEE-004,Altea,abiti,viscosa,TU,Nero|Moro|Bianco,160,160,,32.0,,Abito lungo con bottoni davanti,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",10
HEE-005,Amalfi,t-shirt,viscosa,S/M,Crema|Nero,59.99,59.99,si,25.0,Regular,T-shirt donna in viscosa a costine,Tessuto elasticizzato a costine per vestibilità aderente,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",10
HEE-006,Amsterdam,bottoms,luis,S|M|L,Cammello|Nero|Piombo|Bianco,249.99,249.99,no,68.5,Ampia,"Cargo in Luis, foto presenti in combo con vienna",Tasche soffietto laterali e tasche frontali a taglio vivo,,26
HEE-007,Argentina,maglieria,caldo cotone,L|XL,Crema|Nero,269.99,269.99,,,Oversize,Cardigan doppio petto in cotone biologico,,costo diretto mancante,3
HEE-008,Asia,abiti,viscosa,TU,Nero|Bianco|Moro,140,140,,29.0,,Abito corto in costa con bottoni sul retro,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",8
HEE-009,Atlanta,giacche,piquè,S|M|L,Corda|Nero,219.99,219.99,no,61.5,Regular,Giacca corta da donna in piqué,,,19
HEE-010,Australia,abiti,piquè,M|L,Nero|Corda,156,156,,50.3,Modellante,Abito tubino in felpa piqué,Costruzione con riprese anteriori e posteriori per scolpire la silhouette. Collo polo e manica sopra il gomito con leggero volume per struttura spalla,,8
HEE-011,Baltimora,t-shirt,costina,S/M|L/XL,Salmone|Bianco|Salvia|Cammello|Cioccolato|Piombo|Nero|Crema,49.99,49.99,si,,Regular,Dolcevita in costina donna,Collo alto non aderente. Realizzato con costina felpa,costo diretto mancante,23
HEE-012,Barcellona,bottoms,gigiotto,S|M|L|S/M|L/XL,Bianco|Nero|Cammello,159.99,159.99,si,39.37,Regular,Bermuda in gigiotto con bottoni,Interno garzato per calore. Tasche anteriori e posteriori. Struttura morbida,nome commerciale = bermuda (decisione Giulia 2026-08-13),32
HEE-013,Berna,abiti,lana,S|M,Nero|Crema,120,120,,40.0,Regular fit,Abito minimal in pura lana,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",3
HEE-014,Bilbao,maglieria,cotone,S/M,Nero|Crema,219.99,219.99,si,45.0,Regular,Abito lavorato 100% cotone,"Lavorazione a maglia con effetto traforato. Scollo frontale e posteriore, lacci incrociati regolabili sul retro","costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",5
HEE-015,Bogotà,maglieria,caldo cotone,L|XL,Crema,239.99,239.99,no,59.0,Oversize,Cardigan oversize in cotone biologico,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",5
HEE-016,Bologna,bottoms,luis,S/M,Piombo|Nero|Crema|Cioccolato|Cammello|Salmone|Salvia|Bianco,119.99,119.99,no,,Regular,Gonna con spacco e ricamo in Luis,da caricare,costo diretto mancante,18
HEE-017,Boston,bottoms,piquè,M|L|XL,Nero|Corda|Crema,119.99,119.99,no,30.68,Regular,"Pantalone a sigaretta in piqué, foto in combo con california",Linea semplice e dritta. Tessuto elastico per comfort e adattabilità,,10
HEE-018,Brasile,t-shirt,piquè,XS|S|M|L,Bianco|Nero|Crema|Corda|Salmone|Azzurro,129.99,129.99,si,53.8,Modellante,Top con ganci in piqué,Costruzione a pannelli multipli per struttura. Ganci a vista. Tessuto piqué stretch per adattabilità e contenimento,,20
HEE-019,Budapest,felpe,piquè,M|L|XL,Nero|Crema|Corda,249.99,249.99,no,54.0,Regular,Felpa/bomber in piqué con inserti in maglia e zip,,,19
HEE-020,Cali,bottoms,viscosa,TU,Moro|Nero|Bianco,129,129,,24.0,,Pantalone cargo unisex in cremoso,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",4
HEE-021,California,t-shirt,jersey,S|M|L,Corda|Grigio|Bianco,69.99,69.99,no,26.39,Oversize,T-shirt oversize unisex in jersey con ricamo,,,32
HEE-022,Cambridge,felpe,gigiotto,M|L|XL,Grigio scuro|Grigio chiaro|Nero|Bianco|Cammello,240,240.0,no,42.0,Regular,Felpa in gigiotto patchwork tinta UNITA E TINTO A FREDDO,,,39
HEE-023,Canada,giacche,piquè,M|L|XL,Corda|Nero,299.99,299.99,no,74.17,Regular,Giacca foderata da uomo in piqué,,,8
HEE-024,Canarie,abiti,lycra,S|M|L,Piombo|Nero|Cioccolato,220,,,,Regular,Tuta in lycra,,costo diretto mancante,8
HEE-025,Capri,maglieria,costina,S|M,Nero|Crema,129.99,129.99,no,31.0,Regular fit,Pantaloni donna in viscosa a costine,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",0
HEE-026,Cefalù,bottoms,piquè,S|M|L,Nero|Corda|Crema,279.99,279.99,no,59.55,Regular,Salopette unisex in piqué,"Tasche cargo, bretelle regolabili, struttura ampia. Realizzata in piqué per mantenere forma",,11
HEE-027,Cipro,bottoms,caldo cotone,TU,Moro|Nero|Crema,164,164,,34.0,,Pantalone in cotone biologico unisex,,"costo da Controllo_Gestione_2026 (Break Even per Capo); costi fissi 17,30/capo scorporati (REV1, 2026-09-07)",5
