nome,importo_annuo,note
Affitto laboratorio/showroom,14400.00,
Dipendente remoto 1,7800.00,
Dipendente remoto 2,3000.00,
Contributi/F24,3600.00,
Commercialista,2400.00,
Gestione buste paga,1600.00,
Gas,1169.45,Media bollette 2025
Energia elettrica,1443.54,Media bollette 2025
Rifiuti,200.00,
Spese condominiali,300.00,
Assicurazione immobile,1300.00,
Verisure,720.00,
Piattaforma e-commerce,960.00,
Scontrino elettronico,100.00,
Piedino macchina da cucire,14.00,"Attrezzatura, acquisto una tantum: censita fra i costi fissi (decisione Giulia 2026-09-07)"
Placca aghi macchina da cucire,50.00,"Attrezzatura, acquisto una tantum: censita fra i costi fissi (decisione Giulia 2026-09-07)"
